Estacao;Data;Hora;TempBulboSeco;UmidadeRelativa;PressaoAtmEstacao;VelocidadeVento;Nebulosidade;
83781;01/02/1980;0000;19.6;94;918.8;1;10;
83781;01/02/1980;1200;24;84;917.4;2;9;
83781;01/02/1980;1800;28.6;63;920.3;3.3;8;
83781;02/02/1980;0000;21.4;87;918.5;3.8;10;
83781;02/02/1980;1200;20.5;95;920.3;3.3;10;
83781;02/02/1980;1800;22;84;920.3;4.1;10;
83781;03/02/1980;0000;20.2;93;921.2;3.8;10;
83781;03/02/1980;1200;19.8;94;922.9;3.6;10;
83781;03/02/1980;1800;22.2;86;921.7;5.5;10;
83781;04/02/1980;0000;19.5;92;922.2;3.8;10;
83781;04/02/1980;1200;20.9;81;921;5;10;
83781;04/02/1980;1800;25.9;70;918.7;2.6;9;
83781;05/02/1980;0000;20.4;86;919.8;5;8;
83781;05/02/1980;1200;21.5;76;920;5.8;1;
83781;05/02/1980;1800;29.2;45;918.5;2;3;
83781;06/02/1980;0000;21.8;83;920;3;10;
83781;06/02/1980;1200;21.5;85;919.5;1.6;1;
83781;06/02/1980;1800;31;50;917;4;7;
83781;07/02/1980;0000;25.5;72;917.6;1;0;
83781;07/02/1980;1200;25.5;73;919;1.6;3;
83781;07/02/1980;1800;26.8;65;918.2;2.5;10;
83781;08/02/1980;0000;23;75;920.6;1.5;10;
83781;08/02/1980;1200;23.5;76;921.9;3.3;10;
83781;08/02/1980;1800;25.8;75;920.8;5;10;
83781;09/02/1980;0000;21.6;84;922.2;3.1;10;
83781;09/02/1980;1200;20.4;89;921.8;2.5;10;
83781;09/02/1980;1800;28.6;68;919.8;1;9;
83781;10/02/1980;0000;23.2;87;921.2;3.1;10;
83781;10/02/1980;1200;25.6;67;922.5;2.6;7;
83781;10/02/1980;1800;31.1;44;920.4;6.6;8;
83781;11/02/1980;0000;26.5;70;920.9;2.1;7;
83781;11/02/1980;1200;24.9;73;921.5;4.5;9;
83781;11/02/1980;1800;29.6;55;919;6;7;
83781;12/02/1980;0000;27;68;920.5;0;9;
83781;12/02/1980;1200;24;79;921.8;2.5;10;
83781;12/02/1980;1800;22.6;86;922;2;10;
83781;13/02/1980;0000;21.2;90;922.5;3.3;10;
83781;13/02/1980;1200;24.3;78;923.9;0;10;
83781;13/02/1980;1800;28;63;921;9.3;10;
83781;14/02/1980;0000;20.9;90;924.1;3.6;10;
83781;14/02/1980;1200;20.2;93;925.7;3.3;10;
83781;14/02/1980;1800;28.8;54;923.4;6;9;
83781;15/02/1980;0000;22.4;86;926;4.1;10;
83781;15/02/1980;1200;20.4;86;925.9;2.1;2;
83781;15/02/1980;1800;27.5;60;923.5;2.8;9;
83781;16/02/1980;0000;19.3;88;927.8;0.7;10;
83781;16/02/1980;1200;22.3;77;927.5;1.6;3;
83781;16/02/1980;1800;27.2;52;924.8;3.6;10;
83781;17/02/1980;0000;19;91;927.3;3.3;10;
83781;17/02/1980;1200;21.7;75;925.1;2.5;10;
83781;17/02/1980;1800;26.2;60;921.9;4.1;9;
83781;18/02/1980;0000;20.2;91;922;1.5;10;
83781;18/02/1980;1200;20.5;88;920.6;1.6;10;
83781;18/02/1980;1800;23.8;70;916.9;3;10;
83781;19/02/1980;0000;19.6;94;919;1.8;10;
